Pclass,golden_ticket,is_family_boy,cabin_shared,high_fare,is_large_family,salutation_impact,Sex,Survived,score,pred,match
3,1,0,0,1.8408367497644573,0,0.3140225787284611,1,0.0,0.08020459663055232,0,1
3,0,0,0,0.961269129892287,0,0.3140225787284611,1,0.0,0.033752556747442854,0,1
3,1,0,0,1.0,1,-0.008985269854835054,1,0.0,0.08843663733712132,0,1
1,1,0,2,2.0554716181770485,0,-0.06749851455733807,0,1.0,0.9637280753195029,1,1
3,1,0,0,0.9835999999999999,0,-0.06749851455733807,0,1.0,0.5034221391256277,0,1
1,1,0,2,0.9732096133964696,0,0.3140225787284611,1,1.0,0.5139208954476949,0,1
1,1,0,2,4.896760009700188,0,-0.08355509771940361,0,1.0,0.9704725662696638,1,1
1,0,0,2,1.9825645786409778,0,-0.08355509771940361,0,1.0,0.8974241501609558,1,1
1,1,0,2,1.27770740131279,0,0.3140225787284611,1,1.0,0.46558540189605246,0,1
3,1,0,0,0.9204247409029563,0,-0.06749851455733807,0,1.0,0.6527339539182644,1,1
3,1,0,0,0.5433853136112686,0,0.3140225787284611,1,0.0,0.17920018007823937,0,1
2,0,0,0,1.0,0,-0.08355509771940361,0,1.0,0.809252461840318,1,1
3,1,0,0,0.9867332128033409,0,0.3140225787284611,1,0.0,0.1094553041276071,0,1
2,0,0,0,1.0,0,-0.08355509771940361,0,1.0,0.809252461840318,1,1
1,1,0,2,2.65345760635107,0,-0.08355509771940361,0,1.0,0.9727611364705983,1,1
3,1,0,0,1.0,0,-0.08355509771940361,0,0.0,0.4400306764130571,0,1
3,1,0,0,1.1745308242723638,0,0.3140225787284611,1,0.0,0.06573123065604426,0,1
2,1,0,0,1.4,0,0.3140225787284611,1,0.0,0.08855473772159674,0,1
3,1,0,0,1.024929337169922,0,0.3140225787284611,1,0.0,0.10611810074058713,0,1
3,1,1,0,0.5892197423586224,0,-0.008985269854835054,1,1.0,0.9396717615996831,1,1
2,0,0,0,0.8846153846153846,0,0.3140225787284611,1,0.0,0.09566054388242667,0,1
